Isolate,Collection_date,Geo_origin,Muts_counts,Gene
ISL_404253,2020-01-21,USA,0,S
ISL_404895,2020-01-19,USA,0,S
ISL_406034,2020-01-23,USA,1,S
ISL_406036,2020-01-22,USA,0,S
ISL_406223,2020-01-22,USA,0,S
ISL_407071,2020-01-29,UK,0,S
ISL_407073,2020-01-29,UK,0,S
ISL_407214,2020-01-25,USA,0,S
ISL_407215,2020-01-25,USA,0,S
ISL_408008,2020-01-29,USA,0,S
ISL_408009,2020-01-29,USA,0,S
ISL_408010,2020-01-29,USA,1,S
ISL_408670,2020-01-31,USA,0,S
ISL_409067,2020-01-29,USA,1,S
ISL_410044,2020-01-27,USA,0,S
ISL_410045,2020-01-28,USA,1,S
ISL_411954,2020-02-06,USA,0,S
ISL_411955,2020-02-10,USA,0,S
ISL_411956,2020-02-11,USA,0,S
ISL_412116,2020-02-09,UK,0,S
ISL_412862,2020-02-23,USA,0,S
ISL_412970,2020-02-24,USA,0,S
ISL_413025,2020-02-27,USA,0,S
ISL_413455,2020-02-28,USA,0,S
ISL_413456,2020-02-20,USA,0,S
ISL_413457,2020-02-29,USA,0,S
ISL_413555,2020-02-27,UK,1,S
ISL_413558,2020-02-27,USA,0,S
ISL_413559,2020-02-27,USA,0,S
ISL_413560,2020-02-28,USA,0,S
ISL_413561,2020-02-27,USA,0,S
ISL_414005,2020-02-25,UK,0,S
ISL_414006,2020-02-28,UK,0,S
ISL_414007,2020-02-28,UK,0,S
ISL_414008,2020-02-27,UK,0,S
ISL_414009,2020-02-25,UK,0,S
ISL_414010,2020-02-26,UK,1,S
ISL_414011,2020-02-26,UK,0,S
ISL_414012,2020-02-27,UK,1,S
ISL_414027,2020-03-04,UK,1,S
ISL_414040,2020-02-05,UK,0,S
ISL_414041,2020-02-08,UK,0,S
ISL_414042,2020-02-08,UK,0,S
ISL_414043,2020-02-07,UK,0,S
ISL_414044,2020-02-08,UK,0,S
ISL_414476,2020-02-29,USA,0,S
ISL_414486,2020-03-07,UK,1,S
ISL_414522,2020-02-28,UK,0,S
ISL_414523,2020-02-27,UK,1,S
ISL_414949,2020-02-26,UK,1,S
ISL_415129,2020-02-29,UK,1,S
ISL_415131,2020-02-29,UK,2,S
ISL_415132,2020-02-28,UK,0,S
ISL_415133,2020-02-29,UK,1,S
ISL_415134,2020-02-29,UK,1,S
ISL_415135,2020-02-28,UK,1,S
ISL_415136,2020-02-29,UK,1,S
ISL_415137,2020-03-02,UK,0,S
ISL_415140,2020-02-29,UK,1,S
ISL_415141,2020-02-29,UK,1,S
ISL_415144,2020-02-27,UK,1,S
ISL_415612,2020-03-09,USA,0,S
ISL_415615,2020-03-08,USA,0,S
ISL_415634,2020-03-06,UK,1,S
ISL_415635,2020-03-09,UK,1,S
ISL_415977,2020-03-08,UK,2,S
ISL_416460,2020-02-29,USA,0,S
ISL_416461,2020-02-29,USA,0,S
ISL_416462,2020-02-24,USA,0,S
ISL_416465,2020-02-29,USA,0,S
ISL_417084,2020-03-02,USA,0,S
ISL_417093,2020-02-28,USA,0,S
ISL_417094,2020-02-28,USA,0,S
ISL_417095,2020-02-28,USA,0,S
ISL_417096,2020-02-27,USA,0,S
ISL_417097,2020-02-28,USA,0,S
ISL_417098,2020-02-29,USA,0,S
ISL_417099,2020-02-29,USA,0,S
ISL_417100,2020-02-29,USA,0,S
ISL_417101,2020-02-29,USA,0,S
ISL_417108,2020-02-29,USA,0,S
ISL_417134,2020-02-26,USA,0,S
ISL_417135,2020-02-22,USA,0,S
ISL_417137,2020-02-21,USA,0,S
ISL_417142,2020-02-29,USA,0,S
ISL_417143,2020-02-29,USA,0,S
ISL_417145,2020-02-29,USA,0,S
ISL_417146,2020-02-29,USA,0,S
ISL_417147,2020-02-28,USA,0,S
ISL_417148,2020-02-28,USA,0,S
ISL_417149,2020-02-28,USA,0,S
ISL_417150,2020-02-28,USA,0,S
ISL_417151,2020-02-29,USA,0,S
ISL_417152,2020-02-28,USA,0,S
ISL_417153,2020-02-29,USA,0,S
